36.53x,"rgb(192, 23, 180)",2024-07-24 19:20:46
7.92x,"rgb(145, 62, 248)",2024-07-24 19:20:46
8.68x,"rgb(145, 62, 248)",2024-07-24 19:20:46
1.56x,"rgb(52, 180, 255)",2024-07-24 19:20:46
4.68x,"rgb(145, 62, 248)",2024-07-24 19:20:46
5.77x,"rgb(145, 62, 248)",2024-07-24 19:02:31
1.22x,"rgb(52, 180, 255)",2024-07-24 19:20:46
1.96x,"rgb(52, 180, 255)",2024-07-24 19:20:46
2.11x,"rgb(145, 62, 248)",2024-07-24 19:20:46
1.09x,"rgb(52, 180, 255)",2024-07-24 19:02:29
2.12x,"rgb(145, 62, 248)",2024-07-24 19:20:46
7.24x,"rgb(145, 62, 248)",2024-07-24 19:20:46
36.53x,"rgb(192, 23, 180)",2024-07-24 19:25:50
7.92x,"rgb(145, 62, 248)",2024-07-24 19:25:50
8.68x,"rgb(145, 62, 248)",2024-07-24 19:25:50
4.47x,"rgb(145, 62, 248)",2024-07-24 19:20:46
1.66x,"rgb(52, 180, 255)",2024-07-24 19:20:46
15.80x,"rgb(192, 23, 180)",2024-07-24 19:20:46
1.01x,"rgb(52, 180, 255)",2024-07-24 19:02:31
1.42x,"rgb(52, 180, 255)",2024-07-24 19:20:46
2.15x,"rgb(145, 62, 248)",2024-07-24 19:20:46
14.46x,"rgb(192, 23, 180)",2024-07-24 19:20:47
4.24x,"rgb(145, 62, 248)",2024-07-24 19:20:48
1.52x,"rgb(52, 180, 255)",2024-07-24 19:20:48
1.11x,"rgb(52, 180, 255)",2024-07-24 19:02:24
1.15x,"rgb(52, 180, 255)",2024-07-24 19:02:25
2.81x,"rgb(145, 62, 248)",2024-07-24 19:02:25
1.92x,"rgb(52, 180, 255)",2024-07-24 19:02:26
16.87x,"rgb(192, 23, 180)",2024-07-24 19:02:27
1.91x,"rgb(52, 180, 255)",2024-07-24 19:02:27
1.38x,"rgb(52, 180, 255)",2024-07-24 19:02:27
1.61x,"rgb(52, 180, 255)",2024-07-24 19:02:28
4.13x,"rgb(145, 62, 248)",2024-07-24 19:02:28
1.81x,"rgb(52, 180, 255)",2024-07-24 19:02:28
182.28x,"rgb(192, 23, 180)",2024-07-24 19:02:28
2.24x,"rgb(145, 62, 248)",2024-07-24 19:02:28
1.09x,"rgb(52, 180, 255)",2024-07-24 19:20:46
2.24x,"rgb(145, 62, 248)",2024-07-24 19:02:29
13.07x,"rgb(192, 23, 180)",2024-07-24 19:02:29
1.49x,"rgb(52, 180, 255)",2024-07-24 19:02:30
5.77x,"rgb(145, 62, 248)",2024-07-24 19:20:46
1.01x,"rgb(52, 180, 255)",2024-07-24 19:20:46
2.90x,"rgb(145, 62, 248)",2024-07-24 19:02:32
1.23x,"rgb(52, 180, 255)",2024-07-24 19:02:32
3.67x,"rgb(145, 62, 248)",2024-07-24 19:02:32
3.11x,"rgb(145, 62, 248)",2024-07-24 19:02:32
1.07x,"rgb(52, 180, 255)",2024-07-24 19:02:33
1.23x,"rgb(52, 180, 255)",2024-07-24 19:02:33
27.43x,"rgb(192, 23, 180)",2024-07-24 19:02:33
1.41x,"rgb(52, 180, 255)",2024-07-24 19:02:33
5.39x,"rgb(145, 62, 248)",2024-07-24 20:35:30
1.97x,"rgb(52, 180, 255)",2024-07-24 20:35:30
1.79x,"rgb(52, 180, 255)",2024-07-24 20:35:30
1.84x,"rgb(52, 180, 255)",2024-07-24 20:35:30
1.00x,"rgb(52, 180, 255)",2024-07-24 20:35:31
1.35x,"rgb(52, 180, 255)",2024-07-24 20:35:31
2.08x,"rgb(145, 62, 248)",2024-07-24 20:35:31
1.17x,"rgb(52, 180, 255)",2024-07-24 20:35:31
8.75x,"rgb(145, 62, 248)",2024-07-24 20:35:31
2.66x,"rgb(145, 62, 248)",2024-07-24 20:35:31
1.65x,"rgb(52, 180, 255)",2024-07-24 20:35:32
3.92x,"rgb(145, 62, 248)",2024-07-24 20:35:33
2.98x,"rgb(145, 62, 248)",2024-07-24 20:35:33
3.82x,"rgb(145, 62, 248)",2024-07-24 20:35:33
2.74x,"rgb(145, 62, 248)",2024-07-24 20:35:33
1.99x,"rgb(52, 180, 255)",2024-07-24 20:35:33
3.53x,"rgb(145, 62, 248)",2024-07-24 20:35:33
4.15x,"rgb(145, 62, 248)",2024-07-24 20:35:33
1.14x,"rgb(52, 180, 255)",2024-07-24 20:35:33
1.73x,"rgb(52, 180, 255)",2024-07-24 20:35:34
2.41x,"rgb(145, 62, 248)",2024-07-24 20:35:34
1.43x,"rgb(52, 180, 255)",2024-07-24 20:35:34
2.57x,"rgb(145, 62, 248)",2024-07-24 20:35:34
1.96x,"rgb(52, 180, 255)",2024-07-24 20:35:31
1.43x,"rgb(52, 180, 255)",2024-07-24 21:51:07
2.16x,"rgb(145, 62, 248)",2024-07-24 21:51:08
3.64x,"rgb(145, 62, 248)",2024-07-24 21:51:08
4.73x,"rgb(145, 62, 248)",2024-07-24 21:51:08
1.88x,"rgb(52, 180, 255)",2024-07-24 21:51:08
2.87x,"rgb(145, 62, 248)",2024-07-24 21:51:08
1.67x,"rgb(52, 180, 255)",2024-07-24 21:51:08
1.27x,"rgb(52, 180, 255)",2024-07-24 21:51:08
2.13x,"rgb(145, 62, 248)",2024-07-24 21:51:08
8.88x,"rgb(145, 62, 248)",2024-07-24 21:51:08
1.25x,"rgb(52, 180, 255)",2024-07-24 21:51:08
13.59x,"rgb(192, 23, 180)",2024-07-24 21:51:08
1.54x,"rgb(52, 180, 255)",2024-07-24 21:51:08
15.93x,"rgb(192, 23, 180)",2024-07-24 21:51:08
1.74x,"rgb(52, 180, 255)",2024-07-24 21:51:08
6.12x,"rgb(145, 62, 248)",2024-07-24 21:51:08
1.26x,"rgb(52, 180, 255)",2024-07-24 21:51:08
1.09x,"rgb(52, 180, 255)",2024-07-24 21:51:08
1.10x,"rgb(52, 180, 255)",2024-07-24 21:51:08
2.02x,"rgb(145, 62, 248)",2024-07-24 21:51:08
3.60x,"rgb(145, 62, 248)",2024-07-24 21:51:08
1.38x,"rgb(52, 180, 255)",2024-07-24 21:51:08
12.36x,"rgb(192, 23, 180)",2024-07-24 21:51:08
304.61x,"rgb(192, 23, 180)",2024-07-24 21:51:08
3.35x,"rgb(145, 62, 248)",2024-07-24 21:51:08
1.69x,"rgb(52, 180, 255)",2024-07-25 10:42:53
1.57x,"rgb(52, 180, 255)",2024-07-25 10:42:53
1.15x,"rgb(52, 180, 255)",2024-07-25 10:42:53
1.70x,"rgb(52, 180, 255)",2024-07-25 10:42:54
9.23x,"rgb(145, 62, 248)",2024-07-25 10:42:55
1.25x,"rgb(52, 180, 255)",2024-07-25 10:42:55
1.75x,"rgb(52, 180, 255)",2024-07-25 10:42:55
1.10x,"rgb(52, 180, 255)",2024-07-25 10:42:55
5.40x,"rgb(145, 62, 248)",2024-07-25 10:42:56
6.52x,"rgb(145, 62, 248)",2024-07-25 10:42:56
2.09x,"rgb(145, 62, 248)",2024-07-25 10:42:56
1.19x,"rgb(52, 180, 255)",2024-07-25 10:42:56
3.52x,"rgb(145, 62, 248)",2024-07-25 10:42:56
1.41x,"rgb(52, 180, 255)",2024-07-25 10:42:56
11.04x,"rgb(192, 23, 180)",2024-07-25 10:42:56
1.12x,"rgb(52, 180, 255)",2024-07-25 10:42:56
3.53x,"rgb(145, 62, 248)",2024-07-25 10:42:56
5.80x,"rgb(145, 62, 248)",2024-07-25 10:42:57
2.22x,"rgb(145, 62, 248)",2024-07-25 10:42:57
2.06x,"rgb(145, 62, 248)",2024-07-25 10:42:57
18.85x,"rgb(192, 23, 180)",2024-07-25 10:42:57
5.98x,"rgb(145, 62, 248)",2024-07-25 10:42:57
1.39x,"rgb(52, 180, 255)",2024-07-25 10:42:57
1.13x,"rgb(52, 180, 255)",2024-07-25 10:42:57
9.97x,"rgb(145, 62, 248)",2024-07-25 10:42:57
5.01x,"rgb(145, 62, 248)",2024-07-25 11:13:09
1.34x,"rgb(52, 180, 255)",2024-07-25 11:13:10
1.87x,"rgb(52, 180, 255)",2024-07-25 11:13:10
1.05x,"rgb(52, 180, 255)",2024-07-25 11:13:10
2.38x,"rgb(145, 62, 248)",2024-07-25 11:13:10
9.41x,"rgb(145, 62, 248)",2024-07-25 11:13:10
2.49x,"rgb(145, 62, 248)",2024-07-25 11:13:10
48.86x,"rgb(192, 23, 180)",2024-07-25 11:13:10
57.72x,"rgb(192, 23, 180)",2024-07-25 11:13:10
2.59x,"rgb(145, 62, 248)",2024-07-25 11:13:10
2.39x,"rgb(145, 62, 248)",2024-07-25 11:13:11
1.99x,"rgb(52, 180, 255)",2024-07-25 11:13:11
1.05x,"rgb(52, 180, 255)",2024-07-25 11:13:12
3.25x,"rgb(145, 62, 248)",2024-07-25 11:13:13
1.08x,"rgb(52, 180, 255)",2024-07-25 11:13:13
1.11x,"rgb(52, 180, 255)",2024-07-25 11:13:13
3.54x,"rgb(145, 62, 248)",2024-07-25 11:13:13
1.20x,"rgb(52, 180, 255)",2024-07-25 11:13:13
7.29x,"rgb(145, 62, 248)",2024-07-25 11:13:13
1.30x,"rgb(52, 180, 255)",2024-07-25 11:13:13
4.10x,"rgb(145, 62, 248)",2024-07-25 11:13:13
1.49x,"rgb(52, 180, 255)",2024-07-25 11:13:13
2.72x,"rgb(145, 62, 248)",2024-07-25 11:13:13
1.11x,"rgb(52, 180, 255)",2024-07-25 11:13:14
1.24x,"rgb(52, 180, 255)",2024-07-25 11:13:14
1.35x,"rgb(52, 180, 255)",2024-07-25 11:13:45
1.14x,"rgb(52, 180, 255)",2024-07-25 11:31:28
1.64x,"rgb(52, 180, 255)",2024-07-25 11:31:28
1.38x,"rgb(52, 180, 255)",2024-07-25 11:31:29
2.32x,"rgb(145, 62, 248)",2024-07-25 11:31:29
2.14x,"rgb(145, 62, 248)",2024-07-25 11:31:29
3.30x,"rgb(145, 62, 248)",2024-07-25 11:31:29
1.17x,"rgb(52, 180, 255)",2024-07-25 11:31:29
1.28x,"rgb(52, 180, 255)",2024-07-25 11:31:29
1.26x,"rgb(52, 180, 255)",2024-07-25 11:31:30
1.66x,"rgb(52, 180, 255)",2024-07-25 11:31:30
1.95x,"rgb(52, 180, 255)",2024-07-25 11:31:31
1.68x,"rgb(52, 180, 255)",2024-07-25 11:31:32
13.35x,"rgb(192, 23, 180)",2024-07-25 11:31:32
2.21x,"rgb(145, 62, 248)",2024-07-25 11:31:32
2.31x,"rgb(145, 62, 248)",2024-07-25 11:31:32
4.36x,"rgb(145, 62, 248)",2024-07-25 11:31:32
2.63x,"rgb(145, 62, 248)",2024-07-25 11:31:32
1.47x,"rgb(52, 180, 255)",2024-07-25 11:31:34
6.83x,"rgb(145, 62, 248)",2024-07-25 11:31:34
1.00x,"rgb(52, 180, 255)",2024-07-25 11:31:35
2.24x,"rgb(145, 62, 248)",2024-07-25 11:31:35
1.03x,"rgb(52, 180, 255)",2024-07-25 11:31:35
1.94x,"rgb(52, 180, 255)",2024-07-25 11:31:35
1.31x,"rgb(52, 180, 255)",2024-07-25 11:31:36
1.19x,"rgb(52, 180, 255)",2024-07-25 11:32:07
7.48x,"rgb(145, 62, 248)",2024-07-25 11:32:07
5.74x,"rgb(145, 62, 248)",2024-07-25 11:32:39
12.63x,"rgb(192, 23, 180)",2024-07-25 11:33:10
1.18x,"rgb(52, 180, 255)",2024-07-25 11:33:40
11.41x,"rgb(192, 23, 180)",2024-07-25 11:34:18
3.52x,"rgb(145, 62, 248)",2024-07-25 11:49:01
1.12x,"rgb(52, 180, 255)",2024-07-25 11:49:01
6.79x,"rgb(145, 62, 248)",2024-07-25 11:49:01
1.32x,"rgb(52, 180, 255)",2024-07-25 11:49:01
3.48x,"rgb(145, 62, 248)",2024-07-25 11:49:01
1.45x,"rgb(52, 180, 255)",2024-07-25 11:49:01
1.98x,"rgb(52, 180, 255)",2024-07-25 11:49:01
2.73x,"rgb(145, 62, 248)",2024-07-25 11:49:01
2.61x,"rgb(145, 62, 248)",2024-07-25 11:49:01
1.85x,"rgb(52, 180, 255)",2024-07-25 11:49:01
1.60x,"rgb(52, 180, 255)",2024-07-25 11:49:02
1.88x,"rgb(52, 180, 255)",2024-07-25 11:49:02
2.64x,"rgb(145, 62, 248)",2024-07-25 11:49:02
15.18x,"rgb(192, 23, 180)",2024-07-25 11:49:02
1.02x,"rgb(52, 180, 255)",2024-07-25 11:49:02
2.36x,"rgb(145, 62, 248)",2024-07-25 11:49:02
3.38x,"rgb(145, 62, 248)",2024-07-25 11:49:02
8.15x,"rgb(145, 62, 248)",2024-07-25 11:49:02
13.12x,"rgb(192, 23, 180)",2024-07-25 11:49:03
2.28x,"rgb(145, 62, 248)",2024-07-25 11:49:03
1.05x,"rgb(52, 180, 255)",2024-07-25 11:49:35
18.12x,"rgb(192, 23, 180)",2024-07-25 11:49:40
2.78x,"rgb(145, 62, 248)",2024-07-25 11:50:16
1.33x,"rgb(52, 180, 255)",2024-07-25 11:50:16
1.03x,"rgb(52, 180, 255)",2024-07-25 11:50:46
5.11x,"rgb(145, 62, 248)",2024-07-25 11:50:46
1.00x,"rgb(52, 180, 255)",2024-07-25 11:51:17
1.35x,"rgb(52, 180, 255)",2024-07-25 11:51:17
1.09x,"rgb(52, 180, 255)",2024-07-25 11:51:17
1.44x,"rgb(52, 180, 255)",2024-07-25 11:51:47
2.55x,"rgb(145, 62, 248)",2024-07-25 11:52:18
1.84x,"rgb(52, 180, 255)",2024-07-25 11:52:18
2.35x,"rgb(145, 62, 248)",2024-07-25 11:52:48
14.45x,"rgb(192, 23, 180)",2024-07-25 11:53:51
1.20x,"rgb(52, 180, 255)",2024-07-25 11:53:51
95.61x,"rgb(192, 23, 180)",2024-07-25 11:54:56
1.26x,"rgb(52, 180, 255)",2024-07-25 11:55:30
2.90x,"rgb(145, 62, 248)",2024-07-25 11:55:30
7.06x,"rgb(145, 62, 248)",2024-07-25 11:56:01
1.04x,"rgb(52, 180, 255)",2024-07-25 11:56:36
1.67x,"rgb(52, 180, 255)",2024-07-25 11:56:37
3.15x,"rgb(145, 62, 248)",2024-07-25 11:57:11
3.06x,"rgb(145, 62, 248)",2024-07-25 11:57:43
1.38x,"rgb(52, 180, 255)",2024-07-25 11:58:16
1.14x,"rgb(52, 180, 255)",2024-07-25 11:58:50
7.77x,"rgb(145, 62, 248)",2024-07-25 11:58:50
2.03x,"rgb(145, 62, 248)",2024-07-25 11:59:22
4.11x,"rgb(145, 62, 248)",2024-07-25 11:59:55
6.61x,"rgb(145, 62, 248)",2024-07-25 12:00:28
5.76x,"rgb(145, 62, 248)",2024-07-25 12:01:00
3.10x,"rgb(145, 62, 248)",2024-07-25 12:02:04
1.34x,"rgb(52, 180, 255)",2024-07-25 12:02:04
13.12x,"rgb(192, 23, 180)",2024-07-25 12:02:35
2.28x,"rgb(145, 62, 248)",2024-07-25 12:02:35
1.47x,"rgb(52, 180, 255)",2024-07-25 12:02:35
2.36x,"rgb(145, 62, 248)",2024-07-25 12:03:06
3.38x,"rgb(145, 62, 248)",2024-07-25 12:03:06
8.15x,"rgb(145, 62, 248)",2024-07-25 12:03:06
37.18x,"rgb(192, 23, 180)",2024-07-25 12:03:06
1.88x,"rgb(52, 180, 255)",2024-07-25 12:03:36
2.64x,"rgb(145, 62, 248)",2024-07-25 12:03:36
15.18x,"rgb(192, 23, 180)",2024-07-25 12:03:36
1.02x,"rgb(52, 180, 255)",2024-07-25 12:03:36
2.73x,"rgb(145, 62, 248)",2024-07-25 12:04:08
2.61x,"rgb(145, 62, 248)",2024-07-25 12:04:08
1.85x,"rgb(52, 180, 255)",2024-07-25 12:04:08
1.60x,"rgb(52, 180, 255)",2024-07-25 12:04:08
5.79x,"rgb(145, 62, 248)",2024-07-25 12:04:08
6.31x,"rgb(145, 62, 248)",2024-07-25 14:16:30
1.06x,"rgb(52, 180, 255)",2024-07-25 14:16:30
1.27x,"rgb(52, 180, 255)",2024-07-25 14:16:30
1.84x,"rgb(52, 180, 255)",2024-07-25 14:16:31
1.31x,"rgb(52, 180, 255)",2024-07-25 14:16:32
1.10x,"rgb(52, 180, 255)",2024-07-25 14:16:38
6.39x,"rgb(145, 62, 248)",2024-07-25 14:16:40
1.20x,"rgb(52, 180, 255)",2024-07-25 14:16:41
1.70x,"rgb(52, 180, 255)",2024-07-25 14:16:42
1.24x,"rgb(52, 180, 255)",2024-07-25 14:16:45
1.98x,"rgb(52, 180, 255)",2024-07-25 14:16:46
1.63x,"rgb(52, 180, 255)",2024-07-25 14:16:46
1.65x,"rgb(52, 180, 255)",2024-07-25 14:16:47
2.06x,"rgb(145, 62, 248)",2024-07-25 14:16:48
3.42x,"rgb(145, 62, 248)",2024-07-25 14:16:50
1.88x,"rgb(52, 180, 255)",2024-07-25 14:16:51
1.02x,"rgb(52, 180, 255)",2024-07-25 14:16:51
1.00x,"rgb(52, 180, 255)",2024-07-25 14:16:52
1.69x,"rgb(52, 180, 255)",2024-07-25 14:16:52
3.62x,"rgb(145, 62, 248)",2024-07-25 14:16:52
1.06x,"rgb(52, 180, 255)",2024-07-25 14:16:53
4.47x,"rgb(145, 62, 248)",2024-07-25 14:16:55
4.14x,"rgb(145, 62, 248)",2024-07-25 14:16:56
1.45x,"rgb(52, 180, 255)",2024-07-25 14:16:57
1.30x,"rgb(52, 180, 255)",2024-07-25 14:16:59
5.92x,"rgb(145, 62, 248)",2024-07-25 14:17:00
1.26x,"rgb(52, 180, 255)",2024-07-25 14:17:00
3.16x,"rgb(145, 62, 248)",2024-07-25 14:37:49
1.16x,"rgb(52, 180, 255)",2024-07-25 14:37:49
1.09x,"rgb(52, 180, 255)",2024-07-25 14:37:49
30.61x,"rgb(192, 23, 180)",2024-07-25 14:37:50
1.17x,"rgb(52, 180, 255)",2024-07-25 14:37:51
1.07x,"rgb(52, 180, 255)",2024-07-25 14:37:55
6.41x,"rgb(145, 62, 248)",2024-07-25 14:38:03
1.21x,"rgb(52, 180, 255)",2024-07-25 14:38:03
1.18x,"rgb(52, 180, 255)",2024-07-25 14:38:08
1.11x,"rgb(52, 180, 255)",2024-07-25 14:38:09
1.28x,"rgb(52, 180, 255)",2024-07-25 14:38:09
1.19x,"rgb(52, 180, 255)",2024-07-25 14:38:09
1.33x,"rgb(52, 180, 255)",2024-07-25 14:38:10
4.96x,"rgb(145, 62, 248)",2024-07-25 14:38:10
1.50x,"rgb(52, 180, 255)",2024-07-25 14:38:10
5.42x,"rgb(145, 62, 248)",2024-07-25 14:38:10
7.86x,"rgb(145, 62, 248)",2024-07-25 14:38:10
2.46x,"rgb(145, 62, 248)",2024-07-25 14:38:10
5.47x,"rgb(145, 62, 248)",2024-07-25 14:38:10
1.14x,"rgb(52, 180, 255)",2024-07-25 14:38:11
43.35x,"rgb(192, 23, 180)",2024-07-25 14:38:11
5.47x,"rgb(145, 62, 248)",2024-07-25 14:38:11
1.60x,"rgb(52, 180, 255)",2024-07-25 14:38:11
7.60x,"rgb(145, 62, 248)",2024-07-25 14:39:18
1.76x,"rgb(52, 180, 255)",2024-07-25 14:39:18
1.29x,"rgb(52, 180, 255)",2024-07-25 14:39:18
4.91x,"rgb(145, 62, 248)",2024-07-25 14:40:23
1.51x,"rgb(52, 180, 255)",2024-07-25 14:40:23
1.87x,"rgb(52, 180, 255)",2024-07-25 14:40:23
